timestamp,car_id,est_x,est_y,source
11.2,1,35.0,-200.0,start
12.7,1,35.0,-150.0,inner
29.0,1,30.0,-50.0,inner
42.9,1,-12.5,2.5,inner
63.2,1,-125.0,-45.0,inner
88.6,1,-12.5,-90.0,inner
101.5,1,35.0,-150.0,inner
109.8,1,35.0,-200.0,end
