timestamp,car_id,est_x,est_y,source
8.7,1,30.0,202.5,start
12.6,1,30.0,142.5,inner
24.9,1,72.5,85.0,inner
26.8,1,132.5,127.5,inner
38.0,1,72.5,85.0,inner
92.3,1,30.0,202.5,end
10.6,2,35.0,-200.0,start
14.0,2,35.0,-150.0,inner
28.9,2,30.0,-50.0,inner
42.6,2,-12.5,2.5,inner
50.7,2,127.5,0.0,inner
63.2,2,-125.0,-45.0,inner
75.7,2,-87.5,-92.5,inner
83.2,2,30.0,142.5,inner
88.5,2,72.5,85.0,inner
101.1,2,35.0,-150.0,inner
109.7,2,35.0,-200.0,end
